Scenario Name,Scenario Text,Question Label,Question Text,A,B,C,D,E,Correct,Explanation,NBD,DOM,PHEN,ASD,QT,DIFF
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6B,Where is the real watch at the end of the story?,A. Ceramic dish,B. Display shelf,C. Drawer beneath the TV,D. Marcus's backpack,E. Unknown,C,Zoe hides the real watch in the TVstand drawer.,0,OBJ,,,FC,easy
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6C,Zoe places a fake watch on the display shelf.,A. True,B. False,C. Only Priya does,D. Only Marcus does,E. Not stated,A,The narrative states she replaces it with a nearly identical fake.,0,OBJ,,,FC,easy
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6D,Where does Marcus believe Dana thinks Priya believes the real watch is located?,A. On the display shelf,B. In the drawer under the TV,C. Stolen,D. Still in the ceramic dish,E. Priya knows about the fake,D,"Dana assumes Priya never saw any move, so Priya must think the watch remains in the dish.",3,OBJ,DEC,,MB,hard
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6E,"From Marcus' perspective, what does Priya believe Zoe thinks the **person answering this question** suspects about who moved Dan' watch?",A. The solver suspects Priya moved it,B. The solver suspects Zoe moved it,C. The solver suspects Marcus moved it,D. The solver lacks enough information to suspect anyone,E. Priya cannot model the solver' suspicions at all,E,Story agents are unaware of test-takers; Priya cannot attribute solver suspicions.,3,SOC,,,META,xtrm
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6F,"Given all he has seen, what location does **Marcus** currently believe the **real** watch is in?",A. Drawer beneath TV stand,B. Glass display shelf,C. Ceramic entry dish,D. Zoe’s handbag,E. Unknown to anyone,B,Marcus heard Zoe but didn’t witness the second move; he believes the watch sits on the display shelf.,2,SOC,,,MB,hard
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7A,Olivia's compliment about the pancakes was intended to be:,A. Genuine,B. Sarcastic,C. Neutral,D. Critical,E. Confused,B,Olivia's remark was sarcastic to spare feelings.,0,SOC,IRN,,FC,easy
7. Sarcastic Pancakes,"Four friends Emma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7B,Who initially misinterprets the sarcasm as real praise?,A. Jake,B. Ryan,C. Emma,D. Olivia,E. None of them,C,Emma believes the compliment is sincere.,1,SOC,IRN,,FC,easy
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7C,Ryan learns the compliment was sarcastic because Olivia:,A. Sends him a text,B. Whispers that the pancakes are terrible,C. Rolls her eyes at Emma,D. Leaves the room crying,E. Serves different food,B,Olivia privately tells Ryan the pancakes are awful.,0,SOC,,,FC,easy
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7D,What does Ryan believe about Olivia's view of Emma's reaction?,A. Olivia thinks Emma is secretly hurt,B. Olivia has no idea what Emma thinks,C. Olivia doesn't care,D. Olivia assumes Emma thought the compliment was genuine,E. Ryan has no idea what Olivia thinks,D,Ryan figures Olivia believes her sarcasm landed as sincere.,3,SOC,IRN,,MB,hard
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7E,"According to Olivia, what does Emma think Jake expects the **exam author** to believe about Ryan' taste for sarcastic jokes?",A. Author thinks Ryan enjoys sarcasm,B. Author thinks Ryan dislikes sarcasm,C. Author thinks Ryan is indifferent,D. Author cannot decide based on evidence,E. Such nested meta-belief about the author is impossible for Jake,E,The chain extends beyond the narrative boundary; characters cannot reason about the anonymous author.,3,SOC,,,META,xtrm
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7F,"At the moment she hands Olivia leftovers, what does **Emma** most likely believe about Olivia’s earlier praise?",A. Olivia was sincere,B. Olivia was joking,C. Olivia was uncertain,D. Olivia was copying Jake,E. Emma has no belief either way,A,"Emma’s actions (recipe offer, leftovers) show she still interprets the compliment literally.",2,SOC,,,MB,hard
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Rileyeven though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.",Q8A,Alex wants to boost Leah's confidence about:,A. A job interview,B. Proposing to Jordan,C. Moving abroad,D. Starting grad school,E. Buying a house,B,The scheme is to encourage Leah to propose.,0,SOC,,,FC,easy
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Rileyeven though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.
",Q8B,Alex plans to tell Leah that Jordan believes Sophie is interested in:,A. Alex,B. Riley,C. No one,D. Leah,E. Jordan himself,B,Alex invents Riley's supposed crush.,0,SOC,,,FC,easy
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Rileyeven though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.
",Q8C,Does the story provide detailed thoughts from Sophie or Riley about Jordan's feelings?,"A. Yes, in depth",B. Only from Sophie,C. Only from Riley,"D. No, none at all",E. From both,D,Those inner beliefs are never supplied.,0,SOC,,,FC,easy
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Riley even though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.",Q8D,"According to the best supported inference, what does Alex believe Leah thinks Jordan has regarding Sophie's understanding of Riley's interpretation?",A. A clear belief that Sophie understands Riley correctly,B. A belief Sophie misunderstands Riley,C. No beliefs on the matter,D. A belief Sophie sees evidence Leah is insecure,E. A partial belief Sophie is confused,C,"The narrative lacks info, so ""no beliefs"" is safest.",5plus,SOC,IGN,,MB,xtrm
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Riley even though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.",Q8E,What does Sophie believe Alex expects the **reader of this question** to infer about Jordan' feelings toward nightlife?,A. Reader thinks Jordan loves nightlife,B. Reader thinks Jordan tolerates nightlife,C. Reader thinks Jordan dislikes nightlife,D. Reader cannot draw any conclusion,E. Sophie cannot ascribe beliefs about an external reader she is unaware of,E,Sophie lacks awareness of a reader; meta-ascription impossible.,2,SOC,,,META,xtrm
8. EightLayer Engagement Ring Rumour,"Alex, a 22-year-old barista, had a close relationship with his older sister Leah, who worked as a librarian. Leah typically stayed in during the evenings because her library shifts started very early, limiting her social activities. Leah's longtime friend, Sophie, had been her best friend since childhood. Sophie, who worked as an event planner, frequently went out in the evenings and thus enjoyed a more active social life. Alex knew Leah wanted to propose to her partner, Jordan. However, Alex was aware that Leah believed Jordan was interested in Sophie and worried that Jordan found Sophie's vibrant nightlife appealing. To help Leah feel more confident, Alex devised a plan. He would suggest to Leah that Jordan thought Sophie was romantically interested in another person named Riley even though Riley had no such romantic interest in Sophie. Alex believed this misinformation might convince Leah that Jordan would happily accept a marriage proposal from her. Alex planned to discuss this with Leah over lunch.",Q8F,"According to **Alex’s** plan, what does he think **Leah** will infer about **Jordan’s** feelings toward Sophie after hearing the Riley story?",A. Jordan thinks Sophie loves someone else,B. Jordan secretly loves Sophie,C. Jordan dislikes Sophie’s nightlife,D. Jordan is unaware of Sophie’s life,E. Jordan distrusts Sophie,A,Alex hopes Leah will believe Jordan views Sophie as romantically preoccupied elsewhere.,2,SOC,,,MB,hard
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9A,Mia worries Noah will not skip his evening ____ to see a movie.,A. Cooking class,B. Yoga class,C. Gym session,D. Choir practice,E. Coding bootcamp,B,Yoga is explicitly mentioned.,0,SOC,,,FC,easy
9. MovieInvite via Ava,"It was late afternoon, and Mia thought it might be enjoyable to catch a movie after work. Initially unsure about whom to invite, she especially wanted to ask Noah, her coworker she secretly admired. However, Mia suspected Noah wouldn't skip his evening yoga class just to join her for a movie. Alternatively, she could easily invite Lucas, her frequent cinema companion. Just then, Mia spotted Ava, who was good friends with Noah. Ava would likely know if Noah would be interested in going to the movies. ""Hey Ava,"" Mia said casually, ""I'm thinking of catching a film after work. Would you and Noah like to join me? Could you ask Noah if he'd be interested?"" Ava seemed a bit startled; Mia had never invited her out before, and Ava knew Mia had a crush on Noah. Ava quickly understood that Mia was probably trying to indirectly learn about Noah's interests or plans.",Q9B,Whom does Mia ask to find out whether Noah would be interested?,A. Lucas,B. Ryan,C. Ava,D. Ethan,E. Olivia,C,She approaches Noah's friend Ava.,0,SOC,,,FC,easy
